transaction_amount,hour,account_age_days,transactions_last_24h,device_changes,country_mismatch,failed_attempts,is_risky
9846.03,3,189,23,0,1,5,1
870.18,8,241,29,0,1,0,1
2062.98,12,1927,9,4,1,0,1
1073.79,13,352,10,4,0,2,0
1005.75,9,486,28,2,1,0,1
112.75,5,1832,2,4,0,2,0
2821.48,15,585,6,3,1,0,1
2095.56,5,464,15,4,1,0,1
158.55,16,1265,3,3,1,4,1
979.88,9,298,11,4,0,4,1
7166.58,17,1246,6,4,1,5,1
821.58,21,267,3,4,1,0,1
469.59,17,539,24,1,0,5,1
2016.82,2,696,11,1,1,5,1
12732.11,19,938,15,4,0,5,1
831.43,20,238,13,3,1,5,1
3345.47,14,1259,20,2,0,3,1
4301.66,14,605,28,0,0,3,1
814.0,3,1836,10,1,0,0,0
3908.25,8,444,6,4,1,3,1
1375.57,18,891,15,0,0,0,0
3001.51,23,1030,25,1,0,4,1
3011.51,16,1791,18,2,1,1,1
2302.16,10,411,18,3,0,2,1
283.89,8,631,7,4,1,3,1
5410.93,9,1799,15,2,1,3,1
1160.43,17,97,18,1,0,4,1
619.3,19,593,18,4,0,3,1
124.89,12,1926,20,0,1,0,1
2681.34,7,1575,9,3,0,0,0
3395.56,6,1717,24,1,0,1,0
50.18,16,318,2,3,0,1,0
2152.89,20,915,8,4,0,1,0
770.47,22,352,20,2,1,0,1
3108.37,14,445,2,3,1,5,1
574.81,19,186,11,0,0,5,0
3522.64,14,148,26,1,1,1,1
1466.88,0,203,7,0,0,1,0
8281.03,13,1219,6,3,0,0,0
443.83,4,1251,10,2,0,4,1
1251.4,10,1197,5,2,0,3,1
361.33,15,1194,11,0,1,2,0
7758.57,1,952,1,4,0,5,1
6295.0,7,534,2,4,1,5,1
894.98,10,1841,24,2,0,0,1
3236.29,17,1634,1,0,1,0,0
5098.45,2,1869,19,0,1,2,1
2430.4,0,1075,2,0,1,2,1
2262.84,10,924,21,3,1,1,1
830.63,15,219,20,4,0,2,1
293.18,17,750,29,4,1,3,1
6825.37,15,871,23,3,0,3,1
6920.32,22,1308,21,1,1,5,1
3008.01,9,963,24,3,1,3,1
1242.14,17,1312,4,0,1,3,1
1288.7,5,1284,12,3,0,3,1
3883.4,18,1343,22,0,1,1,1
6822.29,3,1753,20,2,0,5,1
6543.4,12,842,18,0,0,0,0
4540.69,23,149,1,4,0,5,1
3081.93,13,801,1,3,1,5,1
263.68,2,555,24,0,1,5,1
528.88,9,1854,14,1,1,2,0
6864.69,5,1026,4,2,1,0,1
2797.48,0,1937,5,1,1,2,1
27.72,22,1563,11,1,1,1,0
320.99,23,66,24,1,1,1,1
3267.49,13,121,28,2,0,4,1
15.22,7,14,23,2,1,4,1
525.95,18,1443,13,2,0,1,0
2387.09,13,1447,16,2,0,1,1
3531.95,9,1215,24,1,1,2,1
3166.32,16,1046,13,4,1,1,1
761.85,8,1372,24,4,0,0,1
3736.25,5,1830,22,2,0,2,1
812.47,10,1292,26,3,1,1,1
1180.9,6,99,2,0,0,2,0
4117.07,16,625,16,3,0,2,1
3146.32,0,900,6,3,0,3,1
5675.87,21,707,14,3,0,4,1
3215.44,4,1283,1,4,1,2,1
2520.13,8,1288,17,0,1,5,1
295.07,17,1621,11,3,0,2,0
1375.25,23,907,19,2,0,5,1
924.48,20,980,3,4,0,3,1
839.1,1,1141,11,2,1,1,1
10836.93,10,677,29,2,1,2,1
1498.16,5,603,5,3,0,3,1
6678.17,7,598,17,2,0,0,1
2992.0,3,494,26,0,0,3,1
4751.48,17,991,22,2,1,4,1
2095.31,10,981,7,3,0,4,1
2580.47,4,1291,10,2,0,1,1
2034.88,14,648,28,4,0,5,1
651.64,17,1006,29,4,0,1,1
3845.29,1,1936,11,4,0,5,1
988.73,21,291,3,1,1,5,1
73.85,10,995,20,4,1,5,1
3110.91,12,1121,10,4,1,5,1
584.8,3,1237,27,1,0,4,1
8463.25,21,25,10,4,1,4,1
9232.69,6,1184,14,3,0,2,0
7390.53,10,945,12,4,1,4,1
1386.86,21,263,15,4,1,1,1
46.73,23,1221,10,1,0,4,0
7906.57,3,338,10,3,0,1,1
1676.81,14,553,26,2,0,0,1
10202.53,0,792,19,0,1,4,1
9941.21,22,1006,1,3,0,1,0
5752.16,2,1430,24,2,1,5,1
1046.33,13,1550,29,3,1,3,1
1458.88,5,1492,26,2,1,5,1
5714.18,17,1363,10,2,0,2,0
1143.44,0,1853,2,3,0,1,1
557.16,5,854,17,1,0,5,1
2441.21,5,1202,24,3,1,4,1
8253.88,20,1726,7,3,1,4,1
3572.48,15,375,7,2,0,0,0
2532.34,4,1211,20,0,1,3,1
306.68,16,664,27,2,1,1,1
2863.59,9,1395,9,4,1,5,1
13831.71,20,769,22,3,0,3,1
452.76,17,648,2,3,1,0,1
2191.49,6,1808,14,1,1,2,0
6295.83,2,1073,17,2,0,3,1
4050.1,12,933,1,1,0,0,0
3582.22,14,425,9,3,0,1,0
3636.86,19,1388,20,2,0,2,1
1336.48,18,264,21,2,0,4,1
1042.69,2,1176,19,4,0,0,1
4972.12,3,1785,4,4,1,4,1
4983.98,4,1773,28,0,1,2,1
6053.85,0,1886,8,4,1,0,1
7333.85,3,719,13,2,1,0,1
2148.28,11,586,4,4,0,2,0
2088.55,23,909,9,0,1,1,0
4802.85,9,20,9,3,0,0,0
3149.16,22,1653,22,4,0,2,1
3631.65,20,35,18,2,1,3,1
4765.86,19,966,12,3,1,4,1
6621.97,23,430,10,2,0,0,0
1237.45,12,1696,11,3,0,3,1
1412.81,22,1254,7,2,0,0,0
296.09,13,1886,9,4,0,1,0
2590.24,22,505,6,4,1,2,1
109.81,4,1270,19,0,0,0,1
1879.82,3,246,16,3,1,2,1
2346.88,13,1018,15,0,0,5,0
1012.89,9,228,7,1,0,0,0
2680.9,16,1520,16,4,0,1,1
92.93,9,1969,5,3,1,1,1
114.19,6,470,16,0,0,3,1
5188.05,15,672,1,0,1,1,0
1339.76,0,644,19,1,1,2,1
407.67,16,1177,5,0,1,5,1
2215.96,20,999,7,2,0,1,0
4408.94,8,198,19,4,1,0,1
729.35,5,264,22,0,1,1,1
2925.66,18,77,5,0,0,5,0
267.63,12,625,29,1,0,2,0
159.2,2,345,17,2,1,0,1
2273.73,6,680,26,0,1,3,1
2333.73,21,830,22,4,0,3,1
3043.61,8,883,8,4,1,3,1
3884.88,21,1442,29,0,1,0,1
11170.67,4,309,29,2,1,3,1
2178.87,9,1941,1,4,0,1,0
1170.06,22,1635,2,4,1,0,1
4756.96,16,366,15,2,0,0,0
947.55,11,265,20,2,0,0,1
1733.95,22,1017,28,0,0,4,1
245.12,15,362,18,3,1,2,1
77.03,2,1765,11,1,0,4,1
9862.14,21,1554,25,3,1,4,1
5423.3,8,533,10,3,0,4,1
3571.93,14,1870,24,4,1,2,1
1577.58,4,959,24,2,1,4,1
570.92,22,765,4,4,1,3,1
510.36,12,1727,5,1,0,0,0
864.02,13,293,4,0,1,0,0
2390.37,19,1345,13,1,1,1,0
3761.55,14,108,25,4,0,5,1
3238.17,15,206,13,4,0,3,1
985.24,22,491,18,4,1,2,1
9294.31,12,887,29,4,0,5,1
4017.05,16,1259,27,3,0,0,1
2424.69,22,1878,24,0,0,4,1
2838.09,7,624,2,3,1,1,1
1632.11,20,627,16,4,0,1,1
853.98,1,1398,1,2,1,0,1
1320.04,4,377,26,3,0,3,1
4254.55,5,579,19,4,0,5,1
43.49,11,599,9,4,1,1,1
370.14,17,1108,28,0,0,0,0
141.28,21,1075,3,1,0,3,0
124.74,21,431,25,3,0,0,1
5802.61,0,845,7,3,0,0,1
3648.72,16,1214,29,3,1,3,1
1928.35,10,554,10,4,1,3,1
308.87,9,80,1,0,1,3,1
2029.55,18,1601,10,4,1,0,1
1924.35,13,1138,21,4,1,1,1
570.58,9,1233,9,2,1,2,1
1706.7,14,1134,28,0,1,2,1
1525.01,18,777,15,3,0,0,0
2870.17,3,316,15,1,1,0,1
3024.34,1,1619,3,3,1,1,1
139.09,8,1716,25,4,1,3,1
1408.15,9,386,5,0,0,0,0
2949.37,10,664,9,0,1,4,1
2098.32,13,687,26,0,1,3,1
5824.05,6,408,22,2,1,0,1
3224.92,22,1806,9,3,0,4,1
533.56,14,230,23,2,1,5,1
219.55,21,1628,7,1,0,1,0
3085.18,18,191,24,4,0,4,1
80.61,21,316,23,2,0,0,1
2644.04,14,531,12,2,0,2,0
8451.77,23,1429,25,4,1,0,1
2570.35,7,1023,27,0,0,2,0
1473.9,10,13,9,4,0,1,0
3092.48,8,872,6,3,1,1,1
1838.87,14,1947,23,4,0,3,1
2366.44,0,857,2,0,0,3,1
8514.38,0,813,9,4,0,2,1
1463.78,18,1314,28,2,0,2,1
9747.28,2,224,29,1,0,1,1
7072.73,9,981,17,2,0,4,1
653.69,7,1643,1,1,1,2,0
215.65,14,1453,19,4,1,2,1
318.68,9,110,28,3,1,4,1
55.17,0,972,6,4,1,3,1
297.62,17,1554,5,0,0,3,0
3446.62,1,582,2,4,0,2,1
221.55,18,1342,9,1,0,3,0
1152.47,12,667,29,2,1,3,1
5590.58,21,948,26,3,1,5,1
70.64,0,1964,14,4,0,3,1
5053.59,1,1543,4,4,0,1,1
993.25,15,1096,4,2,1,0,1
377.25,14,1666,21,3,1,2,1
3579.47,12,235,15,4,1,2,1
2974.2,15,114,8,4,1,1,1
6298.25,16,781,26,1,0,0,0
3984.88,20,1894,4,1,1,0,0
4880.99,6,1458,16,0,1,1,1
994.0,23,1288,21,2,0,4,1
586.0,16,438,28,3,0,4,1
4166.27,6,443,4,4,0,0,0
4932.63,12,1240,16,4,1,4,1
13971.01,4,1061,22,0,1,4,1
1596.24,16,691,12,4,1,4,1
1395.73,2,1369,16,2,1,0,1
4493.86,6,597,19,0,0,4,1
1250.2,16,1661,8,2,0,2,0
8010.41,6,1102,6,0,1,5,1
5864.52,20,875,10,4,1,0,1
1681.07,0,755,5,0,1,1,1
4169.35,16,1546,29,1,0,4,1
4213.9,16,1200,18,3,1,3,1
326.51,10,873,10,4,0,0,0
6985.34,2,1763,10,3,1,1,1
2111.12,14,1818,7,4,0,5,1
5254.0,20,377,18,3,0,2,1
1157.21,10,260,1,1,1,1,0
6776.37,15,868,7,3,0,4,1
1478.97,21,865,21,0,0,3,1
32.69,8,1964,1,3,1,4,1
7073.72,23,1719,15,4,0,1,0
287.18,23,1203,4,2,1,0,1
1153.96,0,1791,28,3,0,3,1
8990.92,21,1968,29,3,0,3,1
9023.85,15,1123,20,3,0,1,1
2555.99,8,570,10,4,0,5,1
2997.69,18,1479,23,3,1,5,1
1785.04,11,303,9,4,1,4,1
1041.07,18,928,2,4,1,1,1
1195.46,21,1183,28,2,0,3,1
3348.97,8,1165,14,0,0,1,0
4187.51,6,442,16,4,1,3,1
4704.59,13,68,1,1,1,4,1
4676.49,18,978,2,3,1,0,1
286.91,18,845,7,1,1,0,0
2046.15,1,208,29,3,0,1,1
177.85,8,224,10,2,1,3,1
2392.38,12,907,22,4,0,0,1
1747.67,14,1594,20,0,1,3,1
6559.86,2,481,1,4,0,4,1
1296.57,10,1777,13,3,1,1,1
373.52,20,256,1,0,1,3,1
462.92,13,391,5,4,0,1,0
4300.29,7,1000,16,0,0,3,1
2888.72,17,1272,15,3,1,5,1
319.83,18,936,17,2,0,5,1
263.57,15,1400,28,2,1,3,1
3621.63,1,1201,23,4,0,4,1
226.64,7,569,16,1,1,1,1
5175.56,21,1084,13,3,1,2,1
3675.0,5,1844,11,4,1,3,1
254.55,11,1643,17,4,1,3,1
265.96,14,1984,17,2,1,5,1
12946.38,7,1761,2,0,1,0,1
1406.51,3,698,13,3,1,5,1
1389.17,14,389,14,0,1,1,0
5026.73,19,483,11,3,0,5,1
8826.49,16,1113,28,1,0,2,0
12806.32,12,706,10,2,0,4,1
4199.7,17,1400,3,1,1,2,0
1416.06,1,1494,29,4,1,4,1
261.58,12,920,27,2,1,2,1
4503.73,12,1572,17,4,0,5,1
2452.08,21,1485,15,1,0,2,0
1656.1,14,1497,9,3,0,5,1
7104.71,19,969,10,4,0,5,1
353.64,9,487,8,0,0,1,0
2035.52,2,1013,21,3,1,5,1
34.26,18,935,13,3,0,0,0
1897.06,2,1453,27,1,1,2,1
173.85,21,716,18,1,1,3,1
379.47,13,1247,5,2,1,3,1
375.08,7,1402,6,2,0,3,1
3142.71,22,863,17,0,0,0,0
4111.79,3,1147,11,3,1,5,1
2626.66,19,1026,20,0,0,2,0
9824.16,10,763,16,0,0,4,1
1409.39,10,512,9,1,1,4,1
1009.41,10,1669,2,0,1,1,0
6088.51,1,826,5,0,1,0,1
759.25,16,597,1,4,1,2,1
9908.61,8,1344,4,2,1,5,1
36.69,1,1502,4,2,0,3,1
10507.58,23,1857,22,3,1,0,1
132.36,14,717,26,2,0,0,1
6653.16,15,1896,25,3,0,2,1
2250.43,3,1077,3,4,1,5,1
14870.49,7,1448,9,2,1,1,1
229.98,8,1731,22,4,0,5,1
2421.33,4,1888,23,2,1,1,1
10450.73,15,1279,12,2,0,1,1
2221.33,12,1982,10,4,1,3,1
2977.88,6,1117,2,0,1,3,1
3569.7,19,216,11,0,0,2,0
1818.38,16,160,10,0,0,5,0
2963.02,2,677,22,0,1,1,1
2633.48,4,537,6,2,1,2,1
6942.7,18,174,18,1,1,1,1
139.53,11,926,2,4,0,0,0
989.53,6,1178,2,1,1,4,1
9011.99,8,1019,10,1,1,4,1
6629.03,5,46,16,3,1,1,1
1824.53,16,342,12,0,1,2,0
2903.8,15,412,1,2,0,3,1
974.62,22,423,21,0,0,5,1
625.21,2,54,8,0,0,1,0
1869.18,20,1435,16,1,1,1,1
1307.86,3,215,18,3,1,5,1
2628.73,9,71,13,0,1,3,1
242.77,4,429,15,4,0,1,1
10994.88,20,877,21,4,0,0,1
12851.6,21,1501,12,0,0,3,1
3593.59,9,829,8,1,0,0,0
2304.24,11,28,10,1,1,4,1
1111.14,9,374,14,2,0,5,1
5042.72,12,1333,5,3,0,3,1
3462.99,10,1040,18,1,1,3,1
532.42,21,1794,19,2,0,2,1
7254.9,15,437,15,4,1,2,1
5186.98,7,1150,6,4,1,5,1
8975.22,7,589,27,4,1,3,1
3880.81,7,1540,11,0,1,4,1
2851.21,12,555,21,3,1,1,1
1625.11,1,1739,11,2,0,5,1
8097.06,11,334,20,3,0,5,1
6031.18,9,64,20,0,1,2,1
138.82,11,787,21,2,0,4,1
80.16,10,1001,18,2,1,5,1
1417.04,14,51,25,1,0,4,1
4990.94,15,1330,18,3,0,5,1
13092.83,16,240,10,3,0,2,1
489.03,1,462,2,1,0,1,0
2705.17,17,1923,26,4,0,2,1
1438.42,11,403,9,0,0,5,0
10511.13,18,1555,14,3,0,4,1
5537.74,22,1391,19,1,1,0,1
5466.57,17,1477,10,2,1,2,1
1897.25,16,1161,23,1,1,4,1
1607.5,5,700,4,4,0,2,0
958.17,14,1438,29,0,0,5,1
174.08,2,401,29,4,1,4,1
6001.28,5,1226,6,2,1,1,1
5028.35,2,613,14,2,0,4,1
24517.34,0,890,4,2,1,3,1
17084.62,12,1776,26,2,1,0,1
2431.95,20,1111,15,1,1,5,1
4395.85,13,94,16,2,1,4,1
8688.52,12,1063,7,2,0,5,1
5684.32,3,1758,17,1,1,2,1
852.46,6,58,19,2,1,2,1
1796.48,21,1810,29,4,1,4,1
414.89,9,1178,19,4,1,3,1
9240.67,6,78,17,3,0,4,1
2795.54,20,1091,6,4,1,1,1
778.81,14,706,29,0,1,3,1
3341.49,14,1607,11,0,1,5,1
2888.01,3,488,16,0,1,4,1
1330.26,22,829,25,1,1,5,1
361.62,22,1478,8,4,0,0,0
3340.32,5,1329,11,0,1,3,1
2203.83,23,1711,7,3,1,4,1
4439.42,19,1204,26,1,0,0,0
2202.93,4,1608,24,3,1,4,1
5735.31,19,156,22,4,0,1,1
2408.26,11,1517,25,2,1,2,1
2469.34,0,1339,19,3,0,5,1
6278.28,7,1706,26,2,0,4,1
1549.94,0,1686,10,1,1,3,1
431.66,4,1879,9,3,0,4,1
87.62,21,1025,4,3,1,4,1
4221.17,5,618,23,1,0,4,1
2905.2,20,455,15,1,0,4,0
3653.0,2,230,13,0,1,3,1
718.44,14,1588,25,4,0,3,1
439.84,4,1978,2,3,1,4,1
43.95,23,1837,2,3,0,2,0
1295.06,13,1411,16,1,0,4,1
2674.19,17,1653,9,1,1,5,1
1493.95,15,1299,28,4,1,5,1
1725.96,5,104,13,1,0,3,0
7035.18,23,271,3,2,1,5,1
1284.31,13,1858,9,2,1,5,1
2164.58,23,906,13,2,0,1,0
4592.62,7,1104,21,2,0,4,1
1515.24,6,1987,22,4,1,4,1
2919.27,7,228,2,3,0,4,1
5949.42,12,1566,8,2,1,4,1
8958.57,5,101,27,1,1,0,1
477.25,17,136,9,2,1,4,1
7834.99,1,89,16,4,1,3,1
2032.51,7,1857,2,1,1,3,1
896.21,10,1271,6,2,1,0,1
1843.76,0,992,22,3,0,4,1
11740.96,21,1405,8,1,1,2,1
2035.47,5,925,26,1,0,4,1
1195.85,15,495,28,3,1,3,1
3010.46,19,703,5,1,0,1,0
823.89,11,34,9,2,0,5,1
236.69,10,165,1,1,0,1,0
413.93,9,1550,9,2,1,2,1
411.06,2,641,10,3,0,4,1
494.28,12,1822,23,0,0,0,0
448.38,2,1563,4,3,1,4,1
3072.25,14,1976,3,2,0,2,0
602.24,15,1743,10,4,0,2,0
1272.42,12,1090,15,3,1,5,1
6812.92,16,1638,11,4,0,2,0
1927.14,2,28,14,4,0,1,1
3303.87,19,1417,6,2,1,5,1
567.39,10,1898,12,2,0,4,1
640.65,20,1226,13,0,0,4,0
125.18,18,246,17,1,0,0,0
555.14,21,1420,16,3,0,2,1
979.64,10,1459,3,2,1,2,1
584.44,15,286,2,3,1,3,1
278.66,20,1260,11,4,1,5,1
385.67,2,754,29,1,1,3,1
1852.89,21,561,9,0,0,5,0
693.28,5,1356,3,3,1,1,1
1358.94,13,1186,29,1,1,5,1
2100.02,23,648,18,0,0,4,1
3517.37,17,246,20,3,0,0,1
120.32,16,1007,15,1,0,5,0
4819.48,3,64,14,2,1,5,1
2965.78,22,1469,2,3,0,5,1
255.89,14,693,17,1,0,0,0
6204.4,10,118,22,0,0,2,0
7610.08,2,1899,26,1,1,0,1
189.07,2,1217,8,2,1,2,1
972.53,15,1984,10,3,1,4,1
4922.81,4,1401,26,3,1,0,1
4138.07,20,1231,18,3,1,2,1
611.94,9,1404,25,2,1,4,1
704.7,18,382,29,0,1,4,1
1388.36,3,982,19,3,0,2,1
1987.99,18,1530,8,0,0,2,0
2889.01,10,1632,28,1,0,1,0
1380.94,1,210,8,0,1,4,1
1862.67,9,858,3,0,1,2,0
4128.69,10,518,3,3,0,4,1
112.12,19,1355,12,4,0,0,0
872.81,15,284,22,4,1,3,1
3748.48,18,220,17,2,1,3,1
6767.3,22,513,4,2,1,5,1
2150.34,23,1936,17,4,1,2,1
2278.59,10,1151,14,1,1,2,0
340.08,13,712,19,3,1,4,1
1779.43,1,1587,9,3,1,5,1
2281.82,22,51,21,1,1,2,1
833.08,4,324,12,1,0,4,1
941.02,4,797,5,4,1,2,1
1420.99,18,338,11,2,1,4,1
60.83,20,1050,20,1,1,2,1
1166.17,11,292,3,2,0,1,0
712.67,17,952,21,0,0,4,1
1190.25,3,267,15,3,1,1,1
382.69,21,584,14,4,0,1,0
6636.24,16,583,11,3,0,1,0
2701.2,9,621,20,4,0,1,1
3409.9,19,1052,8,0,1,0,0
4670.13,5,1562,4,3,1,5,1
2070.11,13,846,27,0,1,3,1
272.8,10,432,12,4,1,0,1
2310.78,10,1499,8,1,1,2,0
2651.77,17,1406,6,3,1,2,1
4104.65,22,767,15,0,1,5,1
1695.1,21,772,12,3,0,3,1
409.45,17,1114,16,3,1,3,1
1001.29,23,1584,16,3,1,3,1
1353.34,22,1581,27,2,1,1,1
3114.67,10,433,21,0,1,0,1
2537.35,20,438,20,0,1,2,1
1320.62,11,1421,20,3,1,0,1
12918.59,4,1954,28,1,1,0,1
2792.5,22,1742,4,3,1,0,1
812.38,8,1703,11,2,0,3,1
322.03,8,213,13,4,0,5,1
497.66,21,205,29,2,1,5,1
846.92,9,737,9,1,1,3,1
525.49,21,294,4,3,0,2,0
619.48,18,205,12,0,1,2,0
1006.82,0,316,9,3,1,2,1
571.21,6,1697,13,1,0,5,0
6812.25,3,23,16,0,1,5,1
250.91,0,1870,26,2,1,0,1
2230.24,14,1179,6,4,1,3,1
1584.92,7,1971,10,4,0,1,0
12115.93,11,1090,13,3,0,0,1
356.48,21,732,7,2,1,4,1
1521.77,21,789,28,1,0,5,1
10467.18,17,1243,26,4,0,0,1
6018.73,14,538,19,2,0,3,1
5095.99,16,807,24,3,1,4,1
894.83,13,353,19,0,0,0,0
562.2,13,1748,17,3,0,3,1
3313.68,17,1644,13,3,0,3,1
7951.16,19,1312,13,2,1,5,1
2440.95,17,218,26,4,0,1,1
2543.18,15,650,28,2,0,0,1
985.43,0,1368,21,0,1,3,1
4402.42,22,1321,2,2,0,2,0
621.23,10,261,10,1,0,3,0
1173.26,14,1298,22,3,0,1,1
1662.43,11,280,13,4,1,3,1
2125.45,7,1957,26,0,1,5,1
832.84,21,929,9,3,0,0,0
365.95,19,1733,1,2,0,5,1
2829.6,5,428,14,1,0,0,0
1021.69,2,1759,29,2,0,4,1
2611.36,23,804,16,3,0,0,1
502.99,12,1244,20,0,0,4,1
1968.36,12,1398,15,4,1,5,1
2281.64,1,1109,1,3,0,2,1
159.64,4,1693,17,0,0,1,1
1231.15,16,1354,24,3,0,2,1
433.05,5,734,13,1,1,4,1
196.42,1,442,27,2,0,3,1
13803.6,3,118,15,4,1,3,1
1167.39,21,650,16,0,0,2,0
4980.21,10,1555,16,4,0,3,1
881.67,7,1080,2,4,0,4,1
3432.42,11,388,17,4,0,5,1
4284.2,7,1860,11,0,0,1,0
2716.34,10,1129,8,0,0,0,0
1913.57,21,967,20,4,1,4,1
1592.27,19,112,3,2,0,4,1
1287.13,7,901,29,3,0,0,1
7957.67,7,863,12,4,0,0,0
5326.82,16,1179,20,1,1,1,1
10059.53,19,1913,16,4,0,1,1
398.19,19,1975,14,0,1,1,0
3937.65,22,1961,16,3,0,3,1
8358.38,15,1060,27,1,0,4,1
599.87,13,1765,21,3,1,5,1
206.43,10,539,17,3,1,0,1
4054.18,6,688,11,1,0,4,0
